,x,y,prf_size,prf_ampl,bold_bsl,r2,ecc,polar,roi,session,ses,subject,fwhmax,halfmax
768,1.0375992837867358,-3.2064840075364085,0.7058285824071387,0.014763689576568319,0.0,0.4812634060308646,3.370185746261101,-1.2578365476498536,v1,2,placebo,001,1.641641616821289,0.0073788766749203205
769,0.9756704529613265,-2.6965969015661146,0.7103171266453412,0.020780018683789873,0.0,0.583111724032705,2.867676355922636,-1.2236345047521051,v1,2,placebo,001,1.641641616821289,0.010385883040726185
773,0.8708913126936496,-2.855939176471759,0.7623745606156591,0.014563741142188828,0.0,0.6523804135240886,2.985772974998511,-1.2748132158612044,v1,2,placebo,001,1.8018018007278442,0.007279360666871071
774,0.8286167103372898,-2.430055162858273,0.6760162422360713,0.022889266689922423,0.0,0.5739264227981479,2.5674449842565936,-1.2421735484079721,v1,2,placebo,001,1.5615615844726562,0.011439614929258823
778,0.5415696177810131,-2.655085440931954,0.7751031305789094,0.015876184981353146,0.0,0.6424692708643271,2.709755773045295,-1.3695821085066753,v1,2,placebo,001,1.8018018007278442,0.007935445755720139
783,0.836480241799702,-2.4166708368688132,0.6197848254301845,0.01858164645248647,0.0,0.6111891771658488,2.5573418091239777,-1.2375740723878552,v1,2,placebo,001,1.4814814329147339,0.009285977110266685
784,0.8578667757676977,-2.3859316514352873,0.6859183821313111,0.01976396807022465,0.0,0.5879262422054331,2.535469433908992,-1.2256372999802825,v1,2,placebo,001,1.641641616821289,0.00987777579575777
804,0.7509430707532209,-1.626833891598638,0.5696087625353199,0.029245304105413754,0.0,0.5373130691867214,1.791787935657076,-1.1383395707239683,v1,2,placebo,001,1.3213213682174683,0.014613623730838299
805,0.876244676755668,-1.3822507221605387,0.5054650848933427,0.035186460788927,0.0,0.47342964968918244,1.6365884615430892,-1.0058040460037547,v1,2,placebo,001,1.161161184310913,0.017579438164830208
814,1.1509251388960977,-1.3938214740864348,0.33075988910504056,0.04772028427604579,0.0,0.2893878367264403,1.8075859528574247,-0.8805599710622908,v1,2,placebo,001,0.7607607841491699,0.02381647378206253
815,0.8974007746746635,-1.3219231003433918,0.47597454041846343,0.036200635684115155,0.0,0.47012120460305595,1.5977511801304267,-0.9743995920335199,v1,2,placebo,001,1.161161184310913,0.018084313720464706
816,1.2456708824473133,-1.1858013892890553,0.5878275780798348,0.03761475897646222,0.0,0.5306647954869002,1.7198316435677423,-0.7607804044173856,v1,2,placebo,001,1.401401400566101,0.01879647746682167
817,1.5669579400439873,-1.2063880347901734,0.6703399734450248,0.04071490459239897,0.0,0.5616981401867422,1.9775563901825386,-0.6561107743138836,v1,2,placebo,001,1.5615615844726562,0.020348375663161278
818,1.4298527209760377,-1.0431385891030323,0.5909728078035009,0.040347710376845855,0.0,0.6010032904830902,1.7699200320236061,-0.630279357135994,v1,2,placebo,001,1.401401400566101,0.02016228437423706
824,1.5374507916391507,-1.1801007581310878,0.5749459208854993,0.03169746295170818,0.0,0.5135126801740677,1.938141567598564,-0.6546512640102985,v1,2,placebo,001,1.3213213682174683,0.015839125961065292
825,1.0681815775980033,-1.330934787865451,0.5054817674904785,0.0332945414960559,0.0,0.47182745888418953,1.706575311045549,-0.894484221988428,v1,2,placebo,001,1.161161184310913,0.016634220257401466
826,1.4826782285554378,-1.179396562837703,0.5731267260119658,0.04440207254993635,0.0,0.5470637819134836,1.8945476984931466,-0.6719604561989148,v1,2,placebo,001,1.3213213682174683,0.022187495604157448
827,1.3096885825748197,-1.0045180522477173,0.5753108131208743,0.03788232085622458,0.0,0.6205501893554093,1.650557693816968,-0.6542863345600772,v1,2,placebo,001,1.3213213682174683,0.018929695710539818
833,1.3238689119612184,-1.0759335756852204,0.47480918944066225,0.03998037559472414,0.0,0.5141000373604807,1.7059489896665034,-0.6824485276429209,v1,2,placebo,001,1.0810810327529907,0.0199724268168211
839,1.3166872551594224,-0.5719769942192551,0.445414076827449,0.047026483113291585,0.0,0.5502446983943493,1.4355566898647185,-0.4098106585565286,v1,2,placebo,001,1.0810810327529907,0.02348950132727623
840,1.2449073032109579,-0.7067306412058443,0.4670902406695711,0.04231930854415049,0.0,0.5234069359811305,1.4315244995483674,-0.516328865538807,v1,2,placebo,001,1.0810810327529907,0.02114022709429264
841,1.0820065998297947,-0.819101224769568,0.5746561993272622,0.03672663921846239,0.0,0.5773286350781086,1.3570796212802845,-0.6479791365616437,v1,2,placebo,001,1.3213213682174683,0.01835217885673046
849,0.9684462636458161,-0.7539317492682803,0.44838519472146027,0.05152233933374693,0.0,0.48213062039867616,1.2273146491932174,-0.6614906537683279,v1,2,placebo,001,1.0810810327529907,0.025735506787896156
850,0.9670139081387733,-0.7533970067136099,0.4485160491542016,0.05283358779778679,0.0,0.5409283062234044,1.2258560063314332,-0.6618642162508538,v1,2,placebo,001,1.0810810327529907,0.02639049105346203
859,0.9435147198408235,-0.6879193090936001,0.4601276678916538,0.033593992008908315,0.0,0.5350480205471035,1.167669903003466,-0.6299922700851942,v1,2,placebo,001,1.0810810327529907,0.01678110472857952
863,0.6945231463520918,-0.5019585957345061,0.574773351081432,0.027176998633594955,0.0,0.42563473862706813,0.8569275539102279,-0.6258242351543323,v1,2,placebo,001,1.3213213682174683,0.013580258004367352
868,0.8251541779521006,-0.553074967947729,0.33164261758166863,0.04850403438217139,0.0,0.33558921140274134,0.9933636481984773,-0.59049213294066,v1,2,placebo,001,0.7607607841491699,0.024207869544625282
971,1.0872949089387938,-3.0542182974604093,0.8335705833769886,0.010261551764276006,0.0,0.5735780922654518,3.2419839030362536,-1.2287883051657043,v1,2,placebo,001,1.9619619846343994,0.0051292963325977325
980,2.2029820259938337,-3.2155399256668553,0.9587819409430259,0.014619827451288661,0.0,0.71311819945337,3.8977976884914773,-0.9701372088721854,v1,2,placebo,001,2.2822823524475098,0.007308319676667452
981,2.5984738451491896,-2.832822471070332,0.9468706003234258,0.016466794911205153,0.0,0.7252586525847982,3.8440797958062,-0.8285192422071685,v1,2,placebo,001,2.202202320098877,0.00823155790567398
982,1.6312550857889203,-2.701305703325314,0.8749441518531901,0.010530071294644536,0.0,0.6921998810818366,3.155637123899085,-1.0275313188222028,v1,2,placebo,001,2.0420420169830322,0.00526365777477622
989,2.390096017528459,-2.3641508516342395,0.8650636735866089,0.012521858184810216,0.0,0.7444698606069874,3.3618102597095363,-0.7799409565991614,v1,2,placebo,001,2.0420420169830322,0.006259252782911062
990,0.8800220416636954,-2.2515559335552964,0.7048771371296667,0.02098870580065076,0.0,0.6501458725257481,2.4174248521395656,-1.198202140794974,v1,2,placebo,001,1.641641616821289,0.010490121319890022
1001,1.4115622341350604,-2.3214501557772476,0.7185723523621742,0.018103639683938178,0.0,0.6021816504292619,2.716917143858931,-1.024477319650422,v1,2,placebo,001,1.7217217683792114,0.009048308245837688
1007,1.4261229334763417,-2.1053688128239894,0.6241005815541546,0.022084696410504923,0.0,0.6242988621337957,2.5429125937395214,-0.9754172671653492,v1,2,placebo,001,1.4814814329147339,0.011036667041480541
1008,1.0579546701483176,-2.1597721456498125,0.6249713115044109,0.02611979026662629,0.0,0.5668970441253237,2.404970645395372,-1.1153052665806007,v1,2,placebo,001,1.4814814329147339,0.013053197413682938
1009,1.093372792440093,-2.0577426005397776,0.6005281600103659,0.03010890120889408,0.0,0.5193210343390642,2.3301864031283968,-1.0823877012388623,v1,2,placebo,001,1.401401400566101,0.015046087093651295
1010,1.1540673014844078,-1.7694325356745242,0.5758560540044906,0.031411664235151994,0.0,0.5352223537576484,2.112525226987616,-0.9928588792044672,v1,2,placebo,001,1.3213213682174683,0.015696343034505844
1013,1.1449918201541576,-1.960715495334344,0.5892274977982447,0.026745000812191905,0.0,0.6443148710575385,2.2705531312576968,-1.0422497253145317,v1,2,placebo,001,1.401401400566101,0.01336478441953659
1021,2.0034259461027153,-1.424226306985483,0.44324721491213365,0.03187717564135677,0.0,0.4873335897474447,2.4580756894422655,-0.6180009521900695,v1,2,placebo,001,1.0810810327529907,0.015922337770462036
1022,1.1991738634331688,-1.6251195686026692,0.4454314547116602,0.03966749889579185,0.0,0.43415664512969687,2.019661250555785,-0.9350850439068426,v1,2,placebo,001,1.0810810327529907,0.019813725724816322
1023,0.7244675234866099,-1.6462823093694223,0.44183458003534076,0.0512021666908437,0.0,0.4882048654928972,1.7986379943528215,-1.1562368797727285,v1,2,placebo,001,1.0810810327529907,0.025574816390872
1024,1.0205701020103604,-1.6119775251532065,0.5740482728794052,0.030550778431992227,0.0,0.5245585561453852,1.907887542471121,-1.0063814702950236,v1,2,placebo,001,1.3213213682174683,0.015266102738678455
