,x,y,prf_size,prf_ampl,bold_bsl,surr_ampl,surr_size,r2,size ratio,suppression index,ecc,polar,roi,session,ses,subject,fwhmax,halfmax,fwmin,min_profile
817,1.4256728726878278,-1.0876030097576432,1.403268298546782,0.02817942395133299,0.0,0.006802568326471571,3.217302352666488,0.6841939205622815,2.292720754825226,1.268945957554116,1.793160184353826,-0.6516871304669439,v1,2,placebo,001,2.8428428173065186,7.727727890014648,0.01068706065416336,-0.002671121619641781
818,1.3200355784170712,-1.0238151941238989,1.4285668132584792,0.027609538488743094,0.0,0.009488362078672045,2.532976388139008,0.7272048741750892,1.7730892000503875,1.080421632018485,1.6705362851509238,-0.6596827315283352,v1,2,placebo,001,2.7627627849578857,7.247247219085693,0.009059380739927292,-0.0023038331419229507
824,1.4899329330463693,-1.1005244724330043,1.452543028172261,0.03165054575563553,0.0,0.016959783854945745,1.9751600806293332,0.5987163755330076,1.3597945412430794,0.9907993131599434,1.852310519162513,-0.6361911559912995,v1,2,placebo,001,2.682682752609253,6.766766548156738,0.0073443129658699036,-0.001810622401535511
825,1.0193615821641206,-1.2797459385407255,1.530592870479731,0.021327158031663202,0.0,0.00930490154843893,2.4970084896087013,0.6733845220864367,1.6313995300566562,1.1611797703220264,1.6361074849787902,-0.8981721693767346,v1,2,placebo,001,2.8428428173065186,7.407407283782959,0.006010365206748247,-0.0019558004569262266
826,1.2634566460003558,-1.1709861181586356,1.3473820412588098,0.025388034205256083,0.0,0.005824951393034645,3.3081320753983,0.7146145801420966,2.4552294554168417,1.3830803218024996,1.7226523692384075,-0.7474321469608005,v1,2,placebo,001,2.7627627849578857,7.567567348480225,0.009780192747712135,-0.002536181826144457
827,1.215617801143101,-0.9637432632895335,1.4335835157483214,0.02503174768314449,0.0,0.008755817253200524,2.516718988524383,0.7540258156349043,1.7555440341476525,1.0780253430766016,1.5512987191356624,-0.6703359959074064,v1,2,placebo,001,2.7627627849578857,7.247247219085693,0.00813688337802887,-0.0020795841701328754
833,1.2251269836485572,-1.0180779719450483,1.428608319609615,0.02088266392126623,0.0,0.007568128981187277,2.56157786483779,0.6990841350650712,1.793058201941434,1.1651756483262008,1.5929277708118326,-0.6933584139455274,v1,2,placebo,001,2.7627627849578857,7.1671671867370605,0.006656358018517494,-0.001946156844496727
839,1.280255818593559,-0.6103195590625238,1.677521150882567,0.18780378793827426,0.0,0.1734975915306487,1.7478189877027308,0.7121787274818824,1.0419057826979883,1.002873139698597,1.4182894363341136,-0.4448482237826063,v1,2,placebo,001,2.682682752609253,6.766766548156738,0.007152102887630463,-0.0020751748234033585
840,1.1144147699089622,-0.6659537943868373,1.2436847571002643,0.01676217145480012,0.0,0.0027117107913903456,4.359452681076428,0.7397751630811883,3.505271457407574,1.9877254754062859,1.2982352389491942,-0.5386393894578849,v1,2,placebo,001,2.60260272026062,7.647647857666016,0.0070241582579910755,-0.001697311527095735
841,0.9958441830155783,-0.7410640270792086,1.6881511553859587,0.032330233538691154,0.0,0.017863278140197017,2.348160105615417,0.745222862814153,1.3909655531281864,1.0690181248361204,1.2413224919725006,-0.6397508351226407,v1,2,placebo,001,3.0030031204223633,7.727727890014648,0.007232666946947575,-0.0022579629439860582
849,0.8408448082526557,-0.7347531479060908,1.6196786240837273,0.023638997951346413,0.0,0.010035456901696084,2.752573958073414,0.7215132806734557,1.6994568657906317,1.2261070213777099,1.1166387866823162,-0.7181654290160451,v1,2,placebo,001,3.0030031204223633,7.807807922363281,0.006800999399274588,-0.0023761542979627848
850,0.8214636308012829,-0.7107590844228386,1.4832552380121333,0.020012446971020722,0.0,0.006170221459353831,3.0055219670167914,0.7247314012200463,2.0263012662910316,1.2659267862785533,1.0862692911146934,-0.7132725428143701,v1,2,placebo,001,2.9229228496551514,7.727727890014648,0.006920269690454006,-0.002027725800871849
859,0.8447725695325069,-0.6427674854970867,1.4452502426091292,0.01320404138169754,0.0,0.0036853073703994495,3.1706904725868372,0.7342246499924991,2.1938695314541157,1.3433476884498379,1.0615039965288882,-0.6504257227798462,v1,2,placebo,001,2.8428428173065186,7.727727890014648,0.004758769646286964,-0.001383523573167622
