,x,y,prf_size,prf_ampl,bold_bsl,r2,ecc,polar,roi,session,ses,subject,fwhmax,halfmax
806,1.4835590260489848,-1.3669698891394675,0.5729013171486068,0.03873816373526401,0.0,0.5158809976893205,2.017313575422864,-0.7445200694471481,V2,2,placebo,001,1.3213213682174683,0.019357260316610336
807,2.0665616624036987,-1.1857484690162101,0.5674368281945106,0.03870532594559559,0.0,0.5481577472545069,2.3825777083425894,-0.5209157394133436,V2,2,placebo,001,1.3213213682174683,0.019340621307492256
842,1.0766073174866286,-0.6178523614831113,0.5727196184699166,0.043383865450849435,0.0,0.6364567500147675,1.241299664326069,-0.5209984191806073,V2,2,placebo,001,1.3213213682174683,0.021678682416677475
851,0.8572086266494074,-0.5267676975558158,0.6117859913691622,0.03785059144208896,0.0,0.5698289278549857,1.006126650472205,-0.5510241037705819,V2,2,placebo,001,1.401401400566101,0.018915165215730667
969,2.2318746249775656,-3.3237744685870076,0.7184340752805908,0.01770778052993123,0.0,0.5221129377558063,4.0035910205276455,-0.9794633098049005,V2,2,placebo,001,1.7217217683792114,0.008850453421473503
972,1.6973997215764296,-2.908028362506076,0.7297802542776107,0.019260528680430385,0.0,0.56157646433048,3.3671642032944447,-1.04245256194209,V2,2,placebo,001,1.7217217683792114,0.009626641869544983
975,1.704780152230704,-2.6116738391975303,0.5857534847379802,0.028138505628677736,0.0,0.5864343385442541,3.118832411302106,-0.9924876192834938,V2,2,placebo,001,1.401401400566101,0.014061037451028824
976,2.336011938569997,-2.393538412797351,0.8616079292045848,0.011492805714257339,0.0,0.5823332740509392,3.344544499730571,-0.7975607651918736,V2,2,placebo,001,2.0420420169830322,0.0057448516599833965
983,1.5773623863273474,-2.468344574682878,0.591385263680941,0.02630228392372581,0.0,0.5375496197347316,2.929299752016973,-1.0021669307552785,V2,2,placebo,001,1.401401400566101,0.013143609277904034
984,1.8791766317978413,-2.31006244234627,0.6789512426940844,0.01712774584560329,0.0,0.5582096093334965,2.9778672403305513,-0.8878931261976968,V2,2,placebo,001,1.5615615844726562,0.008560150861740112
1014,1.633302869551732,-1.633399367381473,0.5689240203778471,0.033475052470692664,0.0,0.5407930783812886,2.3099073048605474,-0.7854277032277462,V2,2,placebo,001,1.3213213682174683,0.01672716811299324
1015,1.8868149105655139,-1.4684210553423416,0.5810080036217307,0.0378445996193619,0.0,0.5350303145572556,2.3908849622064765,-0.6613397587395676,V2,2,placebo,001,1.401401400566101,0.018911069259047508
1025,1.2275018130373474,-1.5858176016958991,0.6664938592430957,0.0265566450387454,0.0,0.5991717962893801,2.0053872860020103,-0.9120801685907681,V2,2,placebo,001,1.5615615844726562,0.013272332958877087
1026,2.390828259208897,-1.1164093343980435,0.6422899876738664,0.046863013007613544,0.0,0.6296201040667064,2.6386416139678626,-0.43686394651660065,V2,2,placebo,001,1.4814814329147339,0.023420125246047974
1036,1.9492801952403638,-0.6682413458306511,0.4490760693611722,0.05446737202375126,0.0,0.6247590003288741,2.060640622678751,-0.33025911903146205,V2,2,placebo,001,1.0810810327529907,0.02720663882791996
1042,1.5300014029239013,-0.5038355191093888,0.5131140578666141,0.044795978751925744,0.0,0.6208066265420851,1.6108241751554802,-0.31811974437659707,V2,2,placebo,001,1.241241216659546,0.022380948066711426
1043,1.7427716258186772,-0.4190057311364748,0.44376349924312,0.04625746218303939,0.0,0.5884784296803456,1.792433748422487,-0.23594672088372787,V2,2,placebo,001,1.0810810327529907,0.023105207830667496
