,x,y,prf_size,prf_ampl,bold_bsl,r2,ecc,polar,roi,session,ses,subject,fwhmax,halfmax
21,0.3591642559172641,-2.8488439230749636,0.7975547185024944,0.016482408359667057,0.0,0.4665106855513419,2.871395246351458,-1.4453843039837746,V3,2,placebo,001,1.881881833076477,0.00823860801756382
32,0.45306711168253944,-2.790392264683719,0.8720478336996752,0.019927315075080013,0.0,0.5386757172728678,2.826934523206205,-1.4098341810887112,V3,2,placebo,001,2.0420420169830322,0.009961032308638096
33,0.3780999507938925,-2.4532981123874436,0.5697100227857669,0.0415532604957934,0.0,0.4207963447190949,2.4822633222593726,-1.4178804323409326,V3,2,placebo,001,1.3213213682174683,0.020763805136084557
38,0.44860079174183964,-2.49337460082729,0.3404171736189474,0.1331447503594427,0.0,0.34272537267944525,2.533408686020093,-1.3927836630599961,V3,2,placebo,001,0.8408408164978027,0.0664573535323143
39,-0.020947528693768327,-2.1571426091030523,0.8746253659714347,0.021049808531763255,0.0,0.24058608589649555,2.157244315084942,-1.580506797580539,V3,2,placebo,001,2.0420420169830322,0.010522146709263325
43,0.5785265372468089,-2.312558199840362,0.5884458983540649,0.05057582138684251,0.0,0.15842857155460743,2.3838243185997747,-1.3256601718543597,V3,2,placebo,001,1.401401400566101,0.025273282080888748
67,0.588213841082061,-3.546881118537755,0.7443668769708247,0.01564050341341901,0.0,0.39789054879013963,3.5953249076933433,-1.4064523348007227,V3,2,placebo,001,1.7217217683792114,0.007817423902451992
68,0.6665002082772222,-3.2648558710045923,0.8395696782404919,0.012526564587527586,0.0,0.5343684015559707,3.3321924293273844,-1.369419500945634,V3,2,placebo,001,1.9619619846343994,0.006261501926928759
74,0.5487891483398484,-3.567189023379654,0.8651046300416756,0.012137266289362778,0.0,0.5108768894359101,3.609156003535434,-1.4181495076842883,V3,2,placebo,001,2.0420420169830322,0.0060670082457363605
78,0.7508920661853726,-3.302460917066327,0.8215156008324707,0.01803406353250726,0.0,0.5280944554404998,3.3867516891279026,-1.3472239135247959,V3,2,placebo,001,1.9619619846343994,0.009014355018734932
79,0.709175264086197,-3.2521025197559426,0.8093230015529113,0.013830009316167683,0.0,0.5431249398179208,3.328528256481335,-1.3560908163504688,V3,2,placebo,001,1.881881833076477,0.0069128889590501785
80,0.5865673552119404,-3.238485932377664,0.7823316139854068,0.016768920408599584,0.0,0.505859613418975,3.291177964864306,-1.391614928076288,V3,2,placebo,001,1.881881833076477,0.008381715975701809
82,0.7425759496739006,-3.2508102462304604,0.792737203321446,0.01683633919685942,0.0,0.5277877948435175,3.334544391372087,-1.3462215087988385,V3,2,placebo,001,1.881881833076477,0.008415485732257366
83,0.5578750622021607,-2.874388968347613,0.873215471976493,0.017816662999023056,0.0,0.5798121500667269,2.928026046056544,-1.3790949239456038,V3,2,placebo,001,2.0420420169830322,0.008905990049242973
85,0.5601435523844769,-2.724575452839949,0.6164628547412793,0.030965681026914483,0.0,0.489294112264975,2.7815593104400835,-1.3680322648063512,V3,2,placebo,001,1.4814814329147339,0.015474677085876465
87,0.6169799049113445,-2.339997399506113,0.5768013449931126,0.039014881923308584,0.0,0.4984797815875568,2.4199694280630455,-1.3129966150750338,V3,2,placebo,001,1.3213213682174683,0.01949569396674633
92,0.668467034400814,-2.5608344890900137,0.6584001209179627,0.02688432940479697,0.0,0.5539584278441461,2.6466434320840295,-1.3154591935687028,V3,2,placebo,001,1.5615615844726562,0.013435950502753258
93,0.4998948054539341,-2.2114805015951857,0.5746959544042852,0.03670981914326008,0.0,0.5025789661970961,2.2672760805547085,-1.3484871620839718,V3,2,placebo,001,1.3213213682174683,0.01834377460181713
94,0.3795168425586822,-2.0887474697456523,0.33287812312139614,0.1301786959344528,0.0,0.13466556108197147,2.122945836839597,-1.3910612024414766,V3,2,placebo,001,0.7607607841491699,0.06497173756361008
101,0.5442322225629206,-2.057101576528396,0.659516819523183,0.026737787310101638,0.0,0.5767799768835691,2.127875844176861,-1.312159302851684,V3,2,placebo,001,1.5615615844726562,0.013362735509872437
102,0.44908429943874684,-1.9318059795927855,0.6245315005953714,0.029331650813004134,0.0,0.5068102778238448,1.9833181920188279,-1.342384601246805,V3,2,placebo,001,1.4814814329147339,0.014658291824162006
103,0.5098643566656265,-1.9938286895409791,0.582097858096148,0.041415332091406784,0.0,0.17575028828977168,2.0579879750461982,-1.3204402524555383,V3,2,placebo,001,1.401401400566101,0.02069542370736599
111,0.569337839594371,-1.8198533909760382,0.7160806596179063,0.02193293647982383,0.0,0.30879573434360796,1.9068329607600583,-1.267594277549169,V3,2,placebo,001,1.7217217683792114,0.010962183587253094
113,0.4356335372999253,-1.7007053551448366,0.7331432454777163,0.03544739278015647,0.0,0.11248798970991958,1.7556125095928117,-1.3200390370539916,V3,2,placebo,001,1.7217217683792114,0.017717089504003525
117,0.437644594176937,-1.4992189144311563,0.8827354725021223,0.020129913463769116,0.0,0.23734830010845298,1.5617906851433165,-1.2867733044705802,V3,2,placebo,001,2.0420420169830322,0.010062367655336857
118,0.8756065262739338,-1.2949997977986172,0.7208217255059629,0.0376923032627715,0.0,0.24863352462945743,1.5632374308312746,-0.9762610632732749,V3,2,placebo,001,1.7217217683792114,0.01883888617157936
119,1.034270817737569,-1.0133426193719723,0.718011034622967,0.0440393011826133,0.0,0.2608518306033327,1.4479569705827553,-0.7751777432329829,V3,2,placebo,001,1.7217217683792114,0.02201109379529953
