,x,y,prf_size,prf_ampl,bold_bsl,r2,ecc,polar,roi,session,ses,subject,fwhmax,halfmax
152182,-1.825013903004935,0.40039394933843925,0.7179208225147826,0.051292186084834546,0.0,0.4657616509571625,1.8684194017479425,2.9256220929380237,V2,3,memantine,001,1.7217217683792114,0.02563612349331379
152187,-0.7780634525761443,-0.2792276069531324,0.5869972861220021,0.030435188126031763,0.0,0.3886960833114107,0.826650344897698,-2.797033260394807,V2,3,memantine,001,1.401401400566101,0.015208746306598186
152188,-1.209810625352879,-0.20264089947413738,0.4490617973338667,0.06936956698744952,0.0,0.2935182833721215,1.2266642096989755,-2.975635188878518,V2,3,memantine,001,1.0810810327529907,0.03465033695101738
152189,-1.4999138496934634,-0.19121629856762626,0.6690307394771046,0.043959949835433214,0.0,0.45340631764284844,1.5120533156407445,-3.0147917861816422,V2,3,memantine,001,1.5615615844726562,0.02197013609111309
152190,-2.073555716168891,0.2748423272744229,0.6777766957522168,0.06934118453519146,0.0,0.42222703496258895,2.091691089266841,3.0098143972091536,V2,3,memantine,001,1.5615615844726562,0.03465546667575836
152191,-2.034934465352803,0.33770732186846614,0.4510458188092454,0.11491236273734473,0.0,0.12631752389589657,2.062766228520399,2.9771365971355865,V2,3,memantine,001,1.0810810327529907,0.05739961192011833
152196,-0.5732144989351438,-0.16474166363212295,0.7210543619855306,0.023889014574102748,0.0,0.375582528693429,0.5964182069032999,-2.8617354944166884,V2,3,memantine,001,1.7217217683792114,0.01193990372121334
152197,-0.8447406604732246,-0.055191208578406134,0.720784570118587,0.03033317405449259,0.0,0.5244942050793124,0.8465417018440881,-3.076350289176872,V2,3,memantine,001,1.7217217683792114,0.015160739421844482
152198,-0.7231339137270933,-0.17940800302583534,0.7222937362794487,0.02861463173953794,0.0,0.416462384664097,0.7450569701250914,-2.8984050049975423,V2,3,memantine,001,1.7217217683792114,0.01430181972682476
152199,-1.8288245262134943,-0.1659767651538492,0.4566655586229858,0.05002875104466972,0.0,0.12841838836165997,1.8363407729097962,-3.0510846227430406,V2,3,memantine,001,1.0810810327529907,0.024990350008010864
152204,-0.8338368926786954,-0.06754068845642987,0.7871193649426046,0.026097618713697368,0.0,0.3986329277630404,0.8365678144593125,-3.0607692254521845,V2,3,memantine,001,1.881881833076477,0.013044589199125767
152205,-1.4218970737403067,0.2594619849480832,0.9497803997916054,0.03782159871906554,0.0,0.501259024177765,1.445376009882704,2.961102531389188,V2,3,memantine,001,2.202202320098877,0.018906598910689354
152206,-1.3477476407121745,0.10405283180475264,0.7447608314460684,0.04423822446943872,0.0,0.4161312836401817,1.3517583714746584,3.064540521952924,V2,3,memantine,001,1.7217217683792114,0.02211112342774868
152207,-1.2690787874198817,-0.2698274277217518,0.3334280154786376,0.19762498599498826,0.0,0.3554441681535503,1.2974466499359634,-2.9320955420881547,V2,3,memantine,001,0.7607607841491699,0.09863454103469849
152209,-1.4556078377608999,0.23859701677211645,0.7320835554835218,0.024412308039554832,0.0,0.1471417942717118,1.4750331229377582,2.9791217543972746,V2,3,memantine,001,1.7217217683792114,0.012201591394841671
152210,-1.1471457437060935,-0.14627165402019351,0.5759483243993401,0.04700612458393309,0.0,0.24983671933140428,1.1564336358273264,-3.01476781448454,V2,3,memantine,001,1.3213213682174683,0.023488866165280342
152445,-3.410797660128083,-2.7314300933829436,1.202246979029744,0.018919206139373135,0.0,0.6939069080056229,4.369696904062473,-2.4663527846116193,V2,3,memantine,001,2.8428428173065186,0.009458291344344616
152453,-3.580721972744427,-1.6108305269458882,1.0468873607245799,0.02614529533410605,0.0,0.6619792162166017,3.926365346301272,-2.7188535456655845,V2,3,memantine,001,2.4424424171447754,0.013070257380604744
