,x,y,prf_size,prf_ampl,bold_bsl,surr_ampl,surr_size,r2,size ratio,suppression index,ecc,polar,roi,session,ses,subject,fwhmax,halfmax,fwmin,min_profile
21,0.24787657651770875,-2.775372185984169,1.3461876456631363,0.011354816654844299,0.0,0.001522723194569834,4.166807672919761,0.6517312955454748,3.0952651261831914,1.2848030124755092,2.7864194888639227,-1.4817197599334722,V3,2,placebo,001,2.9229228496551514,8.288288116455078,0.004915428347885609,-0.0008292135898955166
32,0.32268735584472336,-2.6471414078502304,1.4276205515981863,0.013997367282418351,0.0,0.001622848661757202,4.416058543509542,0.699485771989197,3.0932999238249073,1.109368231729318,2.666736725433795,-1.4494944908951077,V3,2,placebo,001,3.083083152770996,8.928929328918457,0.0061865802854299545,-0.0008682080078870058
33,0.29961619670531775,-2.4205139983121673,1.0797598868958451,0.016170733827937038,0.0,0.0008460457853145873,5.506092487003473,0.5873264901372712,5.09936751107943,1.3604944141561537,2.4389870605137114,-1.4476407189128073,V3,2,placebo,001,2.4424424171447754,7.727727890014648,0.007660957518965006,-0.0006345974979922175
38,0.4936752656323401,-2.3646338239169884,1.1275504745480593,0.025570388006409744,0.0,0.001585610358440883,32.06669165463253,0.6285998774765231,28.439251615308294,50.152834541564836,2.4156175999336984,-1.3649781509073184,V3,2,placebo,001,2.522522449493408,9.809809684753418,0.011990373954176903,-0.0015651802532374859
39,0.34615928918989797,-2.234071825608113,1.064308418236265,0.018494389488137378,0.0,0.00097475237513421,27.875684837004712,0.46835095578089014,26.191359909751846,36.15516930047901,2.2607306729171484,-1.417073286441546,V3,2,placebo,001,2.4424424171447754,9.249249458312988,0.008758182637393475,-0.0009599605691619217
43,0.5261719546611985,-2.180532105482082,1.119156023454477,0.02434767431897768,0.0,0.001523651633894179,3.722180183489014,0.393230795709811,3.3258813833658625,0.6922161223209542,2.2431177385304832,-1.334018369043681,V3,2,placebo,001,2.522522449493408,7.567567348480225,0.01141007523983717,-0.0008286208030767739
44,0.6707184650503316,-1.716445535992919,1.1640843189719705,0.4985419517331441,0.0,0.47755689183039834,1.1793753256013662,0.15724131255349938,1.0131356521002701,0.9832378854549848,1.842837089215835,-1.1982806529222938,V3,2,placebo,001,2.122122049331665,5.405405521392822,0.010490059852600098,-0.0009016916155815125
67,0.699074338841478,-3.5137965452933213,2.126328258671366,0.17524860355130248,0.0,0.16752156304247112,2.17851484722202,0.7411360721682958,1.0245430536596747,1.0034057301343389,3.5826625703437283,-1.3744093495639869,V3,2,placebo,001,3.3233232498168945,8.448448181152344,0.0038631632924079895,-0.0012058187276124954
68,0.5663451551797541,-3.2250263088312554,2.039539866158886,0.06390586125004241,0.0,0.056156336559238275,2.1871321645984136,0.76998065279107,1.0723654883576714,1.0105172547770596,3.274376509726597,-1.3969593636913697,V3,2,placebo,001,3.2432432174682617,8.288288116455078,0.0038743969053030014,-0.0012181270867586136
74,0.5729156412842611,-3.1674245042581277,2.1010797108186354,0.049133102954265456,0.0,0.042037917489594345,2.3019295859044333,0.7084750854753055,1.0955936483759303,1.026989521781885,3.2188212628543083,-1.3918536139304012,V3,2,placebo,001,3.3233232498168945,8.448448181152344,0.003547271713614464,-0.0012945011258125305
78,0.6913597482142955,-3.206884961908099,1.9092263134446117,0.025008093598852765,0.0,0.015096653398004463,2.5241329219999615,0.7822328322685808,1.322071094571256,1.0551391031973727,3.280562369528012,-1.3584600517660985,V3,2,placebo,001,3.3233232498168945,8.528528213500977,0.004955270793288946,-0.0015589145477861166
79,0.6141095942975674,-3.085017815368017,1.7842742876434994,0.01621136483924935,0.0,0.008068242117008947,2.6418022850092173,0.7747006950659775,1.4806032364554553,1.0910300974338114,3.1455469341509392,-1.3743029217378628,V3,2,placebo,001,3.2432432174682617,8.368368148803711,0.00407116673886776,-0.0012649612035602331
80,0.5161875447152241,-2.9775078641533823,1.5278583064565416,0.011568329410530235,0.0,0.002811230781274105,3.498271214322249,0.7187190103520239,2.2896568350212743,1.273991840054633,3.0219203600383597,-1.3991401585943792,V3,2,placebo,001,3.083083152770996,8.448448181152344,0.004378076642751694,-0.0011029004817828536
82,0.6842291892650683,-3.0704063751873414,1.7684074746559126,0.01469124549904731,0.0,0.005584481217806671,3.194260989140505,0.7704751831125447,1.8062924042786164,1.2402245670334515,3.145721680669382,-1.351532598418796,V3,2,placebo,001,3.3233232498168945,8.768768310546875,0.004552966915071011,-0.001497463439591229
83,0.4751596221635232,-2.823384088721248,1.710292211486516,0.016264293809566864,0.0,0.006126748510287271,2.8588421796112504,0.7625192804918789,1.6715518906131612,1.0525302076756597,2.863088259027111,-1.404064365640321,V3,2,placebo,001,3.2432432174682617,8.528528213500977,0.005068289581686258,-0.0012875325046479702
85,0.5203298756221455,-2.5814851003209887,1.273360413981202,0.014925501170377631,0.0,0.0015249215152043543,5.107348029782857,0.7187412516560747,4.010921003751459,1.6436403191268207,2.6334024574007335,-1.3718990816621037,V3,2,placebo,001,2.7627627849578857,8.368368148803711,0.006699373945593834,-0.0010226978920400143
87,0.45427048675692794,-2.3682120512981077,1.2915523500382189,0.017831031931612302,0.0,0.0022410031849798636,4.094475966240011,0.732898490261485,3.1701974496959795,1.2631025751461826,2.4113875663302173,-1.3812783601500276,V3,2,placebo,001,2.7627627849578857,8.04804801940918,0.007793956436216831,-0.0012435410171747208
92,0.6047210982124418,-2.446975783887819,1.3978085547579342,0.015476444079195998,0.0,0.0031666209160620714,3.3479261491238446,0.758951261732973,2.3951249530760115,1.1737652395513996,2.5205908223185824,-1.3285206693759275,V3,2,placebo,001,2.9229228496551514,7.967967987060547,0.006154146045446396,-0.0012934209080412984
93,0.439374610971424,-2.1657069028941005,1.783915844368375,0.07465121750082565,0.0,0.061383774882605206,1.9658811667379081,0.7112931235499866,1.102003310831045,0.9985791547764842,2.2098272416660647,-1.3706348525114334,V3,2,placebo,001,3.0030031204223633,7.487487316131592,0.006632959470152855,-0.0017583100125193596
94,0.33723534063624855,-2.1015807797262207,1.349988788349071,0.029325784586223452,0.0,0.006112146163669875,3.484118662693956,0.5392742147678806,2.5808500728030164,1.3882562694995761,2.128466454677808,-1.4116853010756207,V3,2,placebo,001,2.7627627849578857,7.727727890014648,0.011605258099734783,-0.002816712949424982
95,0.48745966743504276,-2.009639372257024,1.0172376847865565,0.026346300451370236,0.0,0.0014866042469651169,32.024020415117896,0.21809091570819816,31.481354745363554,55.921982001003705,2.067913763652026,-1.3328314569572488,V3,2,placebo,001,2.2822823524475098,9.00900936126709,0.012427296489477158,-0.00147051562089473
101,0.5519506874740342,-1.9802416721007339,1.6676385758594086,0.09298477111697971,0.0,0.08064679658624907,1.7773842825735051,0.7108247111059824,1.0658090477773576,0.9852219981095072,2.055725332170465,-1.2989666539948113,V3,2,placebo,001,2.8428428173065186,7.087087154388428,0.006168194115161896,-0.0013262806460261345
102,0.41238891872851186,-1.861774005031816,1.8306472374817302,0.18480148885194464,0.0,0.17257852400859233,1.8971395827801338,0.6963936177696943,1.0363217685728856,1.0029297783221027,1.9068998573869262,-1.3528126613448928,V3,2,placebo,001,2.9229228496551514,7.407407283782959,0.00611075758934021,-0.0017954092472791672
103,0.5164927030577336,-1.8854919410439204,1.5430055613228295,0.03504455599114991,0.0,0.015360688776872798,2.484717338231259,0.46417372701430026,1.6103100342043442,1.136603859281636,1.9549538542005167,-1.303425209730476,V3,2,placebo,001,2.8428428173065186,7.407407283782959,0.009840707294642925,-0.003091806313022971
104,0.38074072039107343,-1.6977288193043782,1.465853551851257,0.020969164577756015,0.0,0.004369935324499526,4.361520977807901,0.23183882462070204,2.975413861977989,1.8449671807090864,1.7398984568245792,-1.350181821035254,V3,2,placebo,001,3.0030031204223633,8.528528213500977,0.008298658765852451,-0.0024048476479947567
111,0.4593557594076881,-1.7837216708487533,1.6839934912397294,0.17565191453960335,0.0,0.16129531795177274,1.7564958775738806,0.5495702133118957,1.0430538400007567,0.9990387316992866,1.841920387192802,-1.3187464551669774,V3,2,placebo,001,2.7627627849578857,6.926927089691162,0.00717732310295105,-0.001896711066365242
112,0.4259153060111505,-1.729610340895744,1.8535029495188295,0.19162030415383627,0.0,0.1760467242756694,1.9486935212872494,0.3358468756909603,1.051357119120383,1.0155164036501785,1.7812792535781872,-1.3293508538493404,V3,2,placebo,001,2.8428428173065186,7.327327251434326,0.0077858418226242065,-0.002899967133998871
113,0.5173013670817583,-1.462602044597459,1.6934007090872347,0.057120676947218146,0.0,0.037425276862580494,2.08281763372257,0.2874359336729012,1.2299614748863759,0.991184936641656,1.551388231631697,-1.2308418508681631,V3,2,placebo,001,3.0030031204223633,7.487487316131592,0.009846566244959831,-0.0024806871078908443
114,0.43292787904138946,-1.0601892411530238,1.202025618203327,0.028443201842665893,0.0,0.0037391310963451104,5.375589418563276,0.23275154670359144,4.472108861205632,2.6291595518583195,1.1451758709944515,-1.1831127850560494,V3,2,placebo,001,2.60260272026062,7.807807922363281,0.012350075878202915,-0.0027266894467175007
117,0.44698497670283127,-1.5698993552443958,1.2179954065183392,0.02107732138644498,0.0,0.0032521399941157787,3.3442832528488826,0.44107475400159857,2.745727311409633,1.1632381092763915,1.6322927295662382,-1.2934142497931265,V3,2,placebo,001,2.60260272026062,7.327327251434326,0.008911196142435074,-0.0015560786705464125
118,0.6889283314902587,-1.2801549215624657,1.5040677097552875,0.026689378072539485,0.0,0.006204027436703934,4.251730451483902,0.46183307286594566,2.82682117560762,1.8575132821190963,1.45376025159947,-1.0770886525152075,V3,2,placebo,001,3.0030031204223633,8.528528213500977,0.010241527110338211,-0.0032722309697419405
