,x,y,prf_size,prf_ampl,bold_bsl,r2,ecc,polar,roi,session,ses,subject,fwhmax,halfmax
21,0.29694369070222615,-2.88674539975258,0.859665921076557,0.014480248778664795,0.0,0.5930827228254435,2.90197769778483,-1.468292323937098,V3,2,placebo,001,2.0420420169830322,0.007238160818815231
32,0.4141666514152881,-2.814394158057208,1.0440569180294645,0.015477940627333807,0.0,0.6612533172329856,2.844705343625433,-1.4246848942213823,V3,2,placebo,001,2.4424424171447754,0.007737547624856234
33,0.37485152452371817,-2.455442509341749,0.8567903057513451,0.018364357683577467,0.0,0.5607766645950136,2.4838904126632197,-1.4193044717868712,V3,2,placebo,001,2.0420420169830322,0.009179672226309776
38,0.46943390437571314,-2.392854369109437,0.7184979279883885,0.03866353944863445,0.0,0.5517478321077735,2.438466776961201,-1.377075024850512,V3,2,placebo,001,1.7217217683792114,0.01932426728308201
39,0.44573536453152973,-2.2028704335837173,0.7170265922032613,0.026241046420778937,0.0,0.41718855908317565,2.2475137735621042,-1.3711489215397257,V3,2,placebo,001,1.7217217683792114,0.013115409761667252
43,0.5249807309271626,-2.2416329004635624,0.8844991864131041,0.027900299403684582,0.0,0.385024998988139,2.3022864348915193,-1.3407467333104504,V3,2,placebo,001,2.122122049331665,0.013946576975286007
44,0.5354538074555045,-1.7916431656115863,0.5733603321223035,0.03812968908177301,0.0,0.1544417264038711,1.8699454571728296,-1.2803840250175513,V3,2,placebo,001,1.3213213682174683,0.019053226336836815
45,0.04569692233097659,-1.6108446385980846,0.3509720607809845,0.08726300707780561,0.0,0.15175907728537275,1.6114926802225062,-1.5424356340289453,V3,2,placebo,001,0.8408408164978027,0.04356057941913605
67,0.628334593080401,-3.5258671611827053,0.8712730632087539,0.012280913440781624,0.0,0.6301629194614657,3.5814164235911052,-1.394440554330711,V3,2,placebo,001,2.0420420169830322,0.006138836033642292
68,0.5881372051150687,-3.3020656141961093,0.8681485455131228,0.012285076160797543,0.0,0.6628775963108335,3.354033794179315,-1.3945328269370347,V3,2,placebo,001,2.0420420169830322,0.0061409049667418
74,0.6313803282266574,-3.31311382934802,0.8712367049642483,0.011101913388609521,0.0,0.5706830523512398,3.3727384074500506,-1.3824842321315005,V3,2,placebo,001,2.0420420169830322,0.005549491848796606
78,0.7643253807815933,-3.2787937922670674,0.9091593377379084,0.014953471686222623,0.0,0.6688343669263741,3.366701949967651,-1.3417745397169336,V3,2,placebo,001,2.122122049331665,0.00747492304071784
79,0.623029240527334,-3.1157521581885157,0.82665770903467,0.013749638093209135,0.0,0.6565220906308992,3.177432445514532,-1.373438167476092,V3,2,placebo,001,1.9619619846343994,0.006872802972793579
80,0.6182871157062629,-3.100626768988567,0.8387784567204813,0.01398562956524991,0.0,0.6186061276232244,3.1616712855730036,-1.373970889732818,V3,2,placebo,001,1.9619619846343994,0.006990822963416576
82,0.8111889364450197,-3.096537096780111,0.8096926933224001,0.01654749142123429,0.0,0.6287471882875435,3.2010263170343043,-1.3145871848205812,V3,2,placebo,001,1.881881833076477,0.008271217346191406
83,0.6421106121432171,-2.864746680080956,0.923032051577646,0.01534288608859704,0.0,0.6833870941873805,2.9358268987223677,-1.3502985043846434,V3,2,placebo,001,2.202202320098877,0.007669638376682997
85,0.6050153759193124,-2.643927242018309,0.8082158359519458,0.020765296308190916,0.0,0.6543972213608938,2.712267476888172,-1.345837460487078,V3,2,placebo,001,1.881881833076477,0.01037946343421936
87,0.5131807995210376,-2.4650515450879924,0.7949293711850642,0.02459339566719427,0.0,0.6724907534662857,2.517902629757106,-1.3655454208375777,V3,2,placebo,001,1.881881833076477,0.012292797677218914
92,0.6408743539834183,-2.5654746856605177,0.7675474843472436,0.02096617087989379,0.0,0.6763870337223443,2.6443109311044712,-1.3259990184194927,V3,2,placebo,001,1.8018018007278442,0.010479520075023174
93,0.522138115677578,-2.2952663417887886,0.7255279826313912,0.02438261609010807,0.0,0.6290826276988946,2.3539064959322022,-1.3471181151975873,V3,2,placebo,001,1.7217217683792114,0.012186666950583458
94,0.525218588342198,-2.2458365730873675,0.6788199636303089,0.042248333464328734,0.0,0.4362502190977108,2.3064337143210905,-1.3410619189511552,V3,2,placebo,001,1.5615615844726562,0.021114982664585114
95,0.4892915172778378,-2.1987247541882797,0.6014572288251868,0.0452199229430483,0.0,0.1861384730871387,2.2525089863439747,-1.3518300767614384,V3,2,placebo,001,1.401401400566101,0.02259744144976139
101,0.5985694078935654,-2.072824784007611,0.7343604274326662,0.020846756814604434,0.0,0.6518246652378212,2.157518927208346,-1.2896739507191857,V3,2,placebo,001,1.7217217683792114,0.010419505648314953
102,0.5059029362726408,-1.9985375386362778,0.5812661319945142,0.030696295970007902,0.0,0.5773708082306468,2.061574658911879,-1.3228677840077312,V3,2,placebo,001,1.401401400566101,0.015339045785367489
103,0.5855232077210804,-2.062306650555966,0.5745424115537908,0.04634179911852418,0.0,0.3504348717277028,2.14381579145862,-1.2941594154215768,V3,2,placebo,001,1.3213213682174683,0.02315683662891388
104,0.5345485339488124,-1.7909380796610057,0.7185048867486389,0.030047882880727267,0.0,0.17419683620998883,1.8690107919235448,-1.280740077833037,V3,2,placebo,001,1.7217217683792114,0.015018110163509846
111,0.529861310939075,-1.8285419645763612,0.6135966523351274,0.02887602039061445,0.0,0.46063736710932246,1.9037643564913316,-1.2887487012092922,V3,2,placebo,001,1.4814814329147339,0.014430325478315353
112,0.5354431800497628,-1.7919429319640725,0.5163785344688808,0.040691999909128945,0.0,0.2133283184002397,1.8702296304138162,-1.28043536613242,V3,2,placebo,001,1.241241216659546,0.02033071592450142
113,0.588049797613394,-1.505373100595919,0.7148218891969785,0.03644208528847805,0.0,0.2545210971692885,1.6161530671538895,-1.1983901397299734,V3,2,placebo,001,1.7217217683792114,0.018213899806141853
